backend-1   | 15:19:55.732 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received tool_call for chat-tools #1 (qwen3:4b-instruct): function=list_products arguments={category=electronics, inStockOnly=true, limit=50}
backend-1   | 15:19:55.737 [reactor-http-epoll-2] WARN  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - !!!
backend-1   | Performing asynchronous handling through the default Spring MVC SimpleAsyncTaskExecutor.
backend-1   | This executor is not suitable for production use under load.
backend-1   | Please, configure an AsyncTaskExecutor through the WebMvc config.
backend-1   | -------------------------------
backend-1   | !!!
backend-1   | 15:19:56.933 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - chat-tools completed for model qwen3:4b-instruct in 74 s (2 chunks)
ollama      | [GIN] 2025/12/06 - 15:19:56 | 200 |         1m13s |      172.19.0.5 | POST     "/api/chat"
backend-1   | 15:19:56.940 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - chat-tools stream closed for model qwen3:4b-instruct
backend-1   | 15:19:56.944 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 1: Ollama responded with 2 chunk(s) in 74182 ms
backend-1   | 15:19:56.946 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 1: Ollama requested 1 tool call(s): [list_products]
backend-1   | 15:19:56.946 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 1: Executing tool list_products with args {category=electronics, inStockOnly=true, limit=50}
backend-1   | 15:19:56.946 [boundedElastic-1] INFO  c.a.t.s.o.f.OllamaToolRegistry - Executing tool list_products with args {category=electronics, inStockOnly=true, limit=50}
backend-1   | 15:19:57.231 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 1: Tool list_products responded (payload 170 chars)
backend-1   | 15:19:57.231 [boundedElastic-1] INFO  c.a.t.s.o.OllamaFunctionCallingService - Iteration 2: forwarding 4 historical messages to Ollama (tools=2)
backend-1   | 15:20:03.659 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #3 (qwen3:4b-instruct): We
backend-1   | 15:20:04.672 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #4 (qwen3:4b-instruct):  have
backend-1   | 15:20:04.856 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #5 (qwen3:4b-instruct):  the
backend-1   | 15:20:05.259 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #6 (qwen3:4b-instruct):  following
backend-1   | 15:20:05.450 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #7 (qwen3:4b-instruct):  iPhone
backend-1   | 15:20:05.603 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #8 (qwen3:4b-instruct):  in
backend-1   | 15:20:05.805 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #9 (qwen3:4b-instruct):  our
backend-1   | 15:20:06.060 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #10 (qwen3:4b-instruct):  electronics
backend-1   | 15:20:06.211 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #11 (qwen3:4b-instruct):  catalog
backend-1   | 15:20:06.439 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #12 (qwen3:4b-instruct): :
backend-1   | 
backend-1   | 
backend-1   | 15:20:06.647 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #13 (qwen3:4b-instruct): -
backend-1   | 15:20:07.017 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #14 (qwen3:4b-instruct):  **
backend-1   | 15:20:07.241 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #15 (qwen3:4b-instruct): iPhone
backend-1   | 15:20:07.921 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #17 (qwen3:4b-instruct): 1
backend-1   | 15:20:08.332 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #18 (qwen3:4b-instruct): 3
backend-1   | 15:20:08.571 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #19 (qwen3:4b-instruct):  Pro
backend-1   | 15:20:08.831 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #20 (qwen3:4b-instruct): **
backend-1   | 15:20:09.028 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #21 (qwen3:4b-instruct):  (
backend-1   | 15:20:09.202 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #22 (qwen3:4b-instruct): ID
backend-1   | 15:20:09.430 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #23 (qwen3:4b-instruct): :
backend-1   | 15:20:09.772 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #25 (qwen3:4b-instruct): 1
backend-1   | 15:20:10.159 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #26 (qwen3:4b-instruct): )
backend-1   | 
backend-1   | 
backend-1   | 15:20:10.402 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #27 (qwen3:4b-instruct): Note
backend-1   | 15:20:10.618 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #28 (qwen3:4b-instruct): :
backend-1   | 15:20:10.817 [reactor-http-epoll-2] INFO  c.a.t.s.ollama.OllamaRequestHandler - Received response for chat-tools #29 (qwen3:4b-instruct):  The
